City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Sambava,MG,2021-04-21 17:42:25,-14.2667,50.1667,76.59,88,100,10.25
67,Hofn,IS,2021-04-21 17:47:13,64.2539,-15.2082,44.6,49,20,6.91
68,Warmbad,NA,2021-04-21 17:47:13,-28.45,18.7333,79.36,19,97,5.5
69,Camacha,PT,2021-04-21 17:47:14,33.0833,-16.3333,68.0,73,75,11.5
70,Keti Bandar,PK,2021-04-21 17:47:14,24.1447,67.4497,81.64,70,0,11.95
71,Strezhevoy,RU,2021-04-21 17:44:16,60.7333,77.5889,19.4,79,0,1.07
72,Walvis Bay,NA,2021-04-21 17:47:14,-22.9575,14.5053,80.6,36,96,11.5
73,Saint-Augustin,CA,2021-04-21 17:47:15,51.226,-58.6502,39.38,79,100,11.21
74,Tucuman,AR,2021-04-21 17:47:15,-26.8241,-65.2226,84.2,58,20,11.5
75,Penapolis,BR,2021-04-21 17:47:16,-21.4197,-50.0775,82.4,42,0,6.91
76,Ancud,CL,2021-04-21 17:44:19,-41.8697,-73.8203,57.99,76,75,3.44
77,Bredasdorp,ZA,2021-04-21 17:43:46,-34.5322,20.0403,62.6,88,81,6.91
78,Nanortalik,GL,2021-04-21 17:47:16,60.1432,-45.2371,38.28,76,100,7.43
79,Dingle,PH,2021-04-21 17:47:17,10.9995,122.6711,78.15,82,100,7.56
80,Havoysund,NO,2021-04-21 17:47:17,70.9963,24.6622,39.2,87,75,17.27
81,Turriff,GB,2021-04-21 17:47:17,57.5384,-2.4593,48.0,57,32,9.22
82,Nouadhibou,MR,2021-04-21 17:47:18,20.931,-17.0347,71.6,64,2,23.02
83,Sokolo,ML,2021-04-21 17:47:18,14.7328,-6.1219,104.18,11,53,5.14
84,Hambantota,LK,2021-04-21 17:43:45,6.1241,81.1185,79.95,81,47,11.86
85,Santa Cruz De Tenerife,ES,2021-04-21 17:47:18,28.4682,-16.2546,69.01,82,40,18.41
86,Presque Isle,US,2021-04-21 17:47:19,46.6811,-68.0159,35.6,93,90,3.42
