City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Luanda,AO,-8.8368,13.2343,80.22,87,12,5.06,light rain
79,Tevriz,RU,57.509,72.4042,26.19,84,12,3.94,few clouds
80,Snasa,NO,64.2457,12.3778,35.6,64,40,4.61,scattered clouds
81,Salalah,OM,17.0151,54.0924,82.4,74,20,3.44,few clouds
82,Georgetown,MY,5.4112,100.3354,80.6,89,40,2.3,scattered clouds
83,Sambava,MG,-14.2667,50.1667,75.29,90,100,7.2,light rain
84,Road Town,VG,18.4167,-64.6167,78.8,73,40,13.8,scattered clouds
85,Ponta Do Sol,PT,32.6667,-17.1,64.0,90,92,4.0,overcast clouds
86,Grindavik,IS,63.8424,-22.4338,42.8,87,90,11.5,overcast clouds
87,Iranshahr,IR,27.2025,60.6848,86.0,12,0,5.97,clear sky
88,Meulaboh,ID,4.1363,96.1285,77.18,87,89,3.22,overcast clouds
89,Arnedo,ES,42.2167,-2.1,60.8,55,0,6.91,clear sky
90,Tazmalt,DZ,36.3868,4.3989,61.75,65,100,3.78,overcast clouds
91,Filingue,NE,14.3521,3.3168,95.77,8,24,10.67,few clouds
92,Acara,BR,-1.9608,-48.1967,77.86,84,99,2.28,overcast clouds
93,Sundby,DK,54.864,11.793,44.01,58,7,7.0,clear sky
94,Gwanda,ZW,-20.9333,29.0,58.28,61,0,5.55,clear sky
95,Shakawe,BW,-18.3667,21.85,64.49,49,2,5.95,clear sky
96,Correntina,BR,-13.3433,-44.6367,77.16,66,97,0.94,overcast clouds
97,Artyom,AZ,40.4723,50.333,62.6,59,0,18.41,clear sky
98,Ribeira Grande,PT,38.5167,-28.7,64.4,94,75,25.32,broken clouds
99,Mar Del Plata,AR,-38.0023,-57.5575,69.8,94,20,21.85,few clouds
100,Mitu,CO,1.1983,-70.1733,82.67,70,64,2.91,moderate rain
101,Adrar,MR,20.5022,-10.0711,86.31,7,29,9.04,scattered clouds
102,Bouna,CI,9.2667,-3.0,82.92,55,53,4.9,broken clouds
103,Sakakah,SA,29.9697,40.2064,91.4,11,20,13.8,few clouds
104,Klaksvik,FO,62.2266,-6.589,39.2,93,40,12.66,scattered clouds
105,Mehamn,NO,71.0357,27.8492,37.4,87,75,11.5,light rain
106,Saldanha,ZA,-33.0117,17.9442,59.0,77,35,2.06,scattered clouds
107,Villa Maria,AR,-32.4075,-63.2402,68.41,80,100,11.52,overcast clouds
108,Saint-Pierre,RE,-21.3393,55.4781,77.0,83,75,16.11,broken clouds
109,Awjilah,LY,29.1081,21.2869,71.69,22,17,9.62,few clouds
110,Goderich,CA,43.7501,-81.7165,32.0,64,48,13.8,scattered clouds
111,Mitsamiouli,KM,-11.3847,43.2844,81.1,74,100,11.81,overcast clouds
112,Coihaique,CL,-45.5752,-72.0662,53.6,50,40,9.22,scattered clouds
113,Deogarh,IN,21.5333,84.7333,79.97,48,67,1.5,broken clouds
114,Saint-Augustin,CA,51.226,-58.6502,39.87,76,93,11.61,overcast clouds
115,Molchanovo,RU,57.5817,83.7692,16.56,93,14,4.74,few clouds
116,Lichinga,MZ,-13.3128,35.2406,62.6,82,20,9.22,few clouds
117,Luderitz,NA,-26.6481,15.1594,67.08,69,100,8.59,overcast clouds
118,Kedrovyy,RU,56.1667,91.8167,19.4,68,0,2.24,clear sky
119,Petukhovo,RU,55.0692,67.9019,36.68,65,15,8.03,few clouds
120,Husavik,IS,66.0449,-17.3389,46.4,53,20,14.97,few clouds
121,Pioner,RU,55.3166,85.9508,24.8,63,0,8.95,clear sky
122,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,82.18,86,78,1.07,broken clouds
123,Kalmunai,LK,7.4167,81.8167,79.83,76,85,2.48,overcast clouds
124,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.8,57,0,16.11,clear sky
125,Vardo,NO,70.3705,31.1107,35.6,75,0,9.22,clear sky
126,Kyabe,TD,9.4515,18.9449,86.45,43,60,9.75,broken clouds
127,Paracatu,BR,-17.2222,-46.8747,79.23,47,1,0.29,clear sky
128,Arlit,NE,18.7369,7.3853,91.15,8,71,7.0,broken clouds
129,Narsaq,GL,60.9167,-46.05,48.2,29,75,29.93,broken clouds
130,Kibala,TD,9.1104,18.3463,83.53,51,84,11.9,broken clouds
131,Iqaluit,CA,63.7506,-68.5145,26.6,93,90,13.8,light snow
132,Harsin,IR,34.2721,47.5861,64.94,37,98,1.48,overcast clouds
133,Ugoofaaru,MV,5.6667,73.0,83.03,71,8,7.58,clear sky
134,Calama,CL,-22.4667,-68.9333,69.8,18,0,16.11,clear sky
135,Guhagar,IN,17.4842,73.1929,77.81,76,36,7.23,scattered clouds
136,Umm Lajj,SA,25.0213,37.2685,82.72,51,59,5.41,broken clouds
137,Ati,TD,13.2154,18.3353,91.11,7,19,7.54,few clouds
138,Hamilton,US,39.1834,-84.5333,45.0,49,75,13.8,broken clouds
